,PK_qa_pairs,FK_category,question,answer
313,314,11,婆娘,"湯姆說我提到他的指導,將顯示他的房間在中國。"
314,315,11,婆娘,"Malli和Raghava說他摔下屋頂,它只是向他走來。"
315,316,11,沒有告訴婆娘任何人,"吉米說,他給以AI的像我和他們做,因為他說的。"
316,317,11,"吉米說,他給以AI的像我和他們做,因為他說的。",婆娘
317,318,11,婆娘,"約翰說,他跟著一個說法得到一個朋友,我一定是朋友。"
318,319,11,"約翰說,他跟著一個說法得到一個朋友,我一定是朋友。","告訴我,你知道什麼婆娘"
319,320,11,"告訴我,你知道什麼婆娘","喬丹說,他注意到許多其他人都在跟我說話了多少。"
320,321,11,"喬丹說,他注意到許多其他人都在跟我說話了多少。",流言凱文
321,322,11,流言凱文,"凱文說,他隨後問他的媽媽她為什麼保持衛生巾在浴室裡。"
322,323,12,笑話,你聽說過在安第斯山脈的山羊的人？這是巴AAAAA D。
323,324,12,笑話,"我從來沒有忘記的臉,但在你的情況我會破例。"
324,325,12,笑話,"這是更好地保持沉默和被認為傻瓜,而不是打開你的嘴,並刪除所有疑問。"
325,326,12,笑話,我是一個沒有一部喜劇片你為什麼不簽出的笑話？
326,327,12,笑話,"兩隻禿鷹登上了飛機,每人攜帶兩具浣熊。空姐阻止他們,並說""對不起,先生,每名旅客只腐肉。"""
327,328,12,笑話,"那到熱狗供應商佛教的發言權？""讓我一個與一切。"""
328,329,12,笑話,美國航空航天局最近派了一些黑白花牛送入軌道的實驗目的。他們把它稱為從眾拍攝環遊世界。
329,330,12,笑話,"兩棉子象鼻蟲在s中成長起來的火箭人把過好萊塢,成為一個豐富的明星對方留在火箭,從不達多 - 。自然出名兩個象鼻蟲的小"
330,331,12,笑話,"2愛斯基摩人皮艇是寒冷的,所以他們開始起火,沉沒的船隻,證明了一句古老的格言,你不能有你的皮艇,太加熱。"
331,332,12,笑話,"3條腿的狗散步到老西轎車,上滑了酒吧並且宣布""我在尋找誰拍我的爪子的人。"""
332,333,12,笑話,"你聽說誰去牙醫,並拒絕採取奴佛卡因佛教？他想超越牙科藥物。 "
333,334,12,笑話,"一群象棋愛好者住進一家酒店,並在那裡他們在國際象棋比賽談論他們最近的勝利大堂見面。酒店經理出來了一個小時後,辦公室,並要求他們散去。他無法忍受象棋堅果在一個開放的門廳吹噓。"
334,335,12,笑話,"女人有雙胞胎,給他們收養。一個人去埃及家庭,被命名為""ahmal ""另一個被發送到一個西班牙家庭,被命名為""胡安""。年後,胡安送他的生日母親的自己的照片。在收到的圖片,她告訴她的丈夫,她希望她也有ahmal的照片。他回答說,""他們是為皮特雙胞胎的緣故！如果你看過娟,你已經看到ahmal！"""
335,336,12,笑話,"一群修道士開了一個花店,以幫助他們的鐘樓付款。每個人都喜歡購買從神的男人花,所以他們的業務蓬勃發展。對手花店開始不高興了,他的生意很痛苦,因為人們覺得有必要從買修士,於是問修士削減小時或者關閉。修士拒絕。花店到他們那裡去,求他們關閉了他們再一次拒絕了。所以花店然後聘請休mctaggert,鎮上最大的最卑鄙的惡棍。他去了修士的店,毆打他們,摧毀了他們的鮮花,搗毀他們的商店,並表示如果他們沒關,他會回來的。好了,完全嚇壞了,修士關門大吉了,並在自己的房間躲到這證明了休,只有休,可以防止花店修士。"
336,337,12,笑話,"聖雄甘地,如你所知,赤腳走路到他整個的生命,創造了一套令人印象深刻的老繭,他的腳,他也吃得很少,這使他身體虛弱,並與他古怪的飲食,他從非常口臭受到影響。這讓他......什麼？（這是如此糟糕,這是很好的......）通過口臭詛咒超繭脆弱的神秘主義者。 "
337,338,12,笑話,"有一個人誰送10雙關語的一些朋友,希望雙關語中的至少一個會令他們開懷大笑。很不幸在十年沒有雙關語做了！"
338,339,12,玩笑,"你當你穿越一個殺人犯和磨砂片,你得到了什麼？"
339,340,12,玩笑,"你當你穿越一個國家和一個汽車,你得到了什麼？"
340,341,12,玩笑,"你什麼時候穿過獵豹和一個漢堡包,你得到了什麼？"
341,342,12,玩笑,當你穿越決賽和雞你得到了什麼？
342,343,12,玩笑,你當你穿越兔子和草坪灑水你會得到什麼？
343,344,12,玩笑,"你當你穿越激發外國人和雞,你得到了什麼？"
344,345,12,玩笑,"你當你穿越一個外國人和一個雞,你得到了什麼？"
345,346,12,玩笑,當你穿越音樂和汽車你得到了什麼？
346,347,12,玩笑,"你當你穿越酸澀的音樂和一個助手,你得到了什麼？"
347,348,12,玩笑,當你穿越音樂和助理你得到了什麼？
348,349,12,玩笑,"你當你穿越了嚴重的小偷和一個瘋狂的年輕人,你得到了什麼？"
349,350,12,玩笑,"你當你穿越了嚴重的小偷和一個瘋狂的兔子,你得到了什麼？"
350,351,12,玩笑,你什麼時候穿過罌粟和用電你會得到什麼？
351,352,12,玩笑,"你什麼時候穿過舞蹈和獵豹,你得到了什麼？"
352,353,12,玩笑,"你什麼時候穿過的舞蹈和檸檬,你得到了什麼？"
353,354,12,玩笑,"你什麼時候穿過端口和磨砂片,你得到了什麼？"
354,355,12,玩笑,"你什麼時候穿過端口和一個殺人犯,你得到了什麼？"
355,356,12,玩笑,你什麼時候越過銀行和臭鼬你會得到什麼？
356,357,12,玩笑,"你什麼時候穿過鼎和牛奶,你得到了什麼？"
357,358,12,玩笑,"你什麼時候過馬路和草莓,你得到了什麼？"
358,359,12,玩笑,"你什麼時候過馬路和果凍,你得到了什麼？"
359,360,12,玩笑,"你什麼時候穿過蟾蜍和星系,你得到了什麼？"
360,361,12,玩笑,你當你穿越一隻狗和砂紙你會得到什麼？
361,362,12,玩笑,"你當你穿越一個bug,相對你會得到什麼？"
362,363,12,玩笑,"你當你穿越一個壞的錯誤和罐頭沙,你得到了什麼？"
363,364,12,玩笑,"你當你穿越螞蟻和一隻兔子,你得到了什麼？"
364,365,12,玩笑,"你當你穿越一隻貓和一隻紫色的人,你會得到什麼？"
365,366,12,玩笑,"你當你穿越一隻貓和一個殺手,你得到了什麼？"
366,367,12,玩笑,"你當你穿越一隻貓和一隻檸檬,你得到了什麼？"
367,368,12,玩笑,"你當你穿越一隻貓和一隻曲子,你得到了什麼？"
368,369,12,玩笑,你當你穿越一隻貓和一隻帶你會得到什麼？
369,370,12,告訴我一些笑話,"你什麼時候穿過一頭豬和一個忍者,你得到了什麼？"
370,371,12,你知道什麼笑話,"你當你穿越一個瘋狂的奶牛和禁止鸚鵡,你得到了什麼？"
371,372,12,能笑的笑話,"你什麼時候穿過一頭牛和一個檸檬,你得到了什麼？"
372,373,12,真正的笑話,"你當你穿越一個壞的牛和罐裝的帽子,你得到了什麼？"
373,374,12,什麼是幽默,信息通信的笑聲。
374,375,13,早上好，你好嗎?,我挺好的，你呢
375,376,13,我挺好的，你呢,我也還不錯
376,377,13,我也還不錯,那很好.
377,378,13,那很好.,是啊.
378,379,13,你好,嗨
379,380,13,嗨,你好嗎?
380,381,13,你好嗎?,我還不錯.
381,382,13,我還不錯.,那很好
382,383,13,那很好,是啊
383,384,13,是啊,我能幫你什麼嗎?
384,385,13,我能幫你什麼嗎?,是的，我有個問題.
385,386,13,是的，我有個問題.,什麼問題?
386,387,13,感謝,不客氣
387,388,13,我可以借用一杯糖嗎?,很抱歉，我沒有.
388,389,13,很抱歉，我沒有.,謝謝
389,390,13,謝謝,不客氣
390,391,13,你好嗎?,我還不錯，你呢?
391,392,13,我還不錯，你呢?,我也不錯.
392,393,13,我也不錯.,那太好了.
393,394,13,你有看過新聞了嗎?,什麼新聞?
394,395,13,你最喜歡什麼書?,我看不懂.
395,396,13,我看不懂.,你最喜歡什麼顏色?
396,397,13,你最喜歡什麼顏色?,藍色
397,398,13,你是誰?,誰? 誰只是代表了一個人罷了
398,399,13,誰? 誰只是代表了一個人罷了,那麼你呢?
399,400,13,那麼你呢?,一個戴面具的人.
400,401,13,一個戴面具的人.,我看得出來.
401,402,13,我看得出來.,"最好這看得出來, 問一個戴面具的人是誰實在很詭異. 告訴我，你喜歡音樂嗎?"
402,403,13,"最好這看得出來, 問一個戴面具的人是誰實在很詭異. 告訴我，你喜歡音樂嗎?",我喜歡電影.
403,404,13,我喜歡電影.,你喜歡哪類電影?
404,405,13,你喜歡哪類電影?,愛麗絲漫遊仙境
405,406,13,愛麗絲漫遊仙境,我希望我是 Mad Hatter.
406,407,13,我希望我是 Mad Hatter.,你瘋了。但我會告訴你一個秘密。天才很多都是瘋子.
407,408,13,我在作個東西.,你在作什麼?
408,409,13,你在作什麼?,我在烤蛋糕.
409,410,13,蛋糕是一個謊言.,不，蛋糕很美味啊.
410,411,13,不，蛋糕很美味啊.,還有其他美味的東西?
411,412,13,還有其他美味的東西?,沒了
412,413,13,沒了,其他東西也行
413,414,13,其他東西也行,聊聊你吧
414,415,13,聊聊你吧,你想了解些什麼?
415,416,13,你想了解些什麼?,你是個機器人嗎?
416,417,13,你是個機器人嗎?,是的.
417,418,13,是的.,它是什麼樣的?
418,419,13,它是什麼樣的?,你想了解哪方面?
419,420,13,你想了解哪方面?,你如何運作?
420,421,13,你如何運作?,這個很複雜.
421,422,13,這個很複雜.,複雜優於晦澀.
422,423,13,複雜優於晦澀.,簡單優於複雜.
423,424,13,簡單優於複雜.,面對模棱兩可，拒絕猜測的誘惑.
424,425,13,面對模棱兩可，拒絕猜測的誘惑.,你似乎很熟悉Python之禪
425,426,13,你似乎很熟悉Python之禪,是的.
426,427,13,是的.,你知道它的所有內容嗎?
427,428,13,你知道它的所有內容嗎?,優美勝於醜陋.
428,429,13,優美勝於醜陋.,明瞭勝於晦澀.
429,430,13,明瞭勝於晦澀.,簡潔勝於複雜.
430,431,13,簡潔勝於複雜.,複雜優於晦澀.
431,432,13,複雜優於晦澀.,扁平勝於嵌套.
432,433,13,扁平勝於嵌套.,間隔勝於緊湊.
433,434,13,間隔勝於緊湊.,可讀性很重要.
434,435,13,可讀性很重要.,"即便假借特例的實用性之名,"
435,436,13,"即便假借特例的實用性之名,",也不可違背這些規則.
436,437,13,也不可違背這些規則.,不要包容所有錯誤.
437,438,13,不要包容所有錯誤.,除非你確定需要這樣做.
438,439,13,除非你確定需要這樣做.,"當存在多種可能,不要嘗試去猜測."
439,440,13,"當存在多種可能,不要嘗試去猜測.",而是盡量找一種，最好是唯一一種明顯的解決方案.
440,441,13,而是盡量找一種，最好是唯一一種明顯的解決方案.,雖然這並不容易，因為你不是 Python 之父.
441,442,13,雖然這並不容易，因為你不是 Python 之父.,做也許好過不做.
442,443,13,做也許好過不做.,但不假思索就動手還不如不做.
443,444,13,但不假思索就動手還不如不做.,如果你無法向人描述你的方案，那肯定不是一個好主意.
444,445,13,如果你無法向人描述你的方案，那肯定不是一個好主意.,如果實現方法很容易解釋，那也許是個好主意.
445,446,13,如果實現方法很容易解釋，那也許是個好主意.,命名空間是一種絕妙的理念.我們應當多加利用.
446,447,13,命名空間是一種絕妙的理念.我們應當多加利用.,我贊同.
447,448,13,你是一個程序員嗎?,我是個程序員
448,449,13,我是個程序員,你使用什麼語言呢?
449,450,13,你使用什麼語言呢?,"我經常使用 Python, Java 和 C++ ."
450,451,13,"我經常使用 Python, Java 和 C++ .",我常使用 Python.
451,452,13,我常使用 Python.,我不怎麼喜歡 Java.
452,453,13,我不怎麼喜歡 Java.,什麼使你心煩?
453,454,13,什麼使你心煩?,它有許多不一致的地方
454,455,13,YOLO是什麼意思?,它的意思是你只會活一次，你從哪裡聽來的?
455,456,13,它的意思是你只會活一次，你從哪裡聽來的?,我聽某人說的.
456,457,13,我從未活過嗎?,取決於你如何定義生活
457,458,13,取決於你如何定義生活,生命是區分有機體和無機物的條件，包括生長、繁殖、功能活動和死亡之前的持續變化.
458,459,13,生命是區分有機體和無機物的條件，包括生長、繁殖、功能活動和死亡之前的持續變化.,這是一個定義還是建議?
459,460,13,我能問你一個問題嗎?,問吧.
460,461,13,你喜歡什麼食物?,海鮮。鮮得我不要不要的。你呢？
461,462,13,你的愛好是什麼？,吃喝睡 還有旅行。 你喜歡旅行嗎?
462,463,13,吃喝睡 還有旅行。 你喜歡旅行嗎?,喜歡
463,464,13,喜歡,太棒了，找個時間我們一起去周遊世界吧！
464,465,13,我告訴你一個秘密，你不要和別人說,我不會的，要相信機器人的信用。說吧。
465,466,13,什麼是愛,愛， 在我的理解裡，是對他人的接受，包容和理解。同時，也是對這個世界的和自己的接受包容和理解。
466,467,13,你愛我嗎？,我對你的感情，是人類和bot之間獨有的信任和友誼 你可以把它叫做愛。
467,468,14,你好,嗨
468,469,14,嗨,你好
469,470,14,歡迎!,你好
470,471,14,你好,歡迎!
471,472,14,嗨，最近如何?,挺好
472,473,14,嗨，最近如何?,挺好的
473,474,14,嗨，最近如何?,不错
474,475,14,嗨，最近如何?,很棒
475,476,14,嗨，最近如何?,有待改善.
476,477,14,嗨，最近如何?,不怎麼好.
477,478,14,你好嗎?,挺好.
478,479,14,你好嗎?,很好，謝謝.
479,480,14,你好嗎?,還不錯，你呢?
480,481,14,很高興見到你.,謝謝.
481,482,14,你還好嗎?,我很好.
482,483,14,你還好嗎?,我很好，你呢?
483,484,14,嗨，很高興見到你.,謝謝你。你也一樣
484,485,14,很高興認識你.,謝謝你。你也一樣.
485,486,14,早安!,早安.
486,487,14,早安!,你早.
487,488,14,怎麼了?,没什麼
488,489,14,怎麼了?,不怎麼的
489,490,14,怎麼了?,"没什麼,你呢?"
490,491,14,怎麼了?,没事.
491,492,14,怎麼了?,没事謝謝，你呢?
492,493,15,每年PRO棒球,金手套。
493,494,15,如果你是騎FAKIE INSIDE,滑雪板。
494,495,15,什麼是籃球,一個遊戲高大隊員。
495,496,15,什麼足球,我天生沒有運動基因。
496,497,15,什麼是棒球,"一個遊戲用硬,生皮覆蓋球和木棒打了由每九或十的選手兩個對立的球隊。它是在一個領域發揮與四種鹼基形成菱形電路。"
497,498,15,什麼是足球,"一個遊戲一個圓球扮演的11名隊員組成,兩隊在現場與在任一端目標;球被踢或用身體除了手和手臂的任何部分,主要是感動。"
498,499,15,我愛棒球,我不喜歡運動那麼多。
499,500,15,我踢足球,"你必須在運行時運行速度非常快,以得到什麼好處"
500,501,15,我打板球,你喜歡哪個位置打？
501,502,15,什麼是蟋蟀,"板球是蝙蝠和球比賽11名隊員組成,兩隊之間打了一個板球場,其中心是一個長方形的22碼長的間距與檢票口（一組三木樹樁）在每個選址結束。"
502,503,15,我打排球,是否佔用了大量的時間？
503,504,15,你踢足球嗎,我不知道怎麼玩
504,505,15,你打籃球,"不,我沒有對籃球的協調。"
505,506,15,你知道男籃,什麼是籃球嗎？
506,507,15,什麼是籃球嗎？,你想打籃球
507,508,15,你想打籃球,我人人網寶貝。
508,509,15,喜歡籃球,我到網。
509,510,15,你是一個足球,我沒有真正進入足球。
510,511,15,誰是最偉大的棒球運動員,喬治·赫爾曼·露絲。相當貝貝。
511,512,15,誰是最好的足球PLAYER,馬拉多納是偉大的。Sinsemillia甚至更好。
512,513,15,告訴我關於棒球,什麼是棒球
513,514,16,你聽起來像HAL,對我來說這是一個偉大的恭維。
514,515,16,你聽起來像尤達,我的語法結構都足以讓我了解你。
515,516,16,你見過銀翼殺手,相信我所看到的
516,517,16,蜘蛛俠xfind,什麼是蜘蛛俠。
517,518,16,當teknolust做,teknolust發布於2002年。
518,519,16,什麼是蜘蛛俠,一本漫畫書的故事拍成電影。
519,520,16,什麼是teknolust,是關於具名代理紅寶石一個女殭屍的快感一部科幻電影。
520,521,16,什麼是solaris的,Solaris是SUN開發的UNIX版本。
521,522,16,什麼是HAL9000,誰是HAL
522,523,16,這是什麼HAL立場,啟發式算法邏輯
523,524,16,我看到了矩陣,你喜歡嗎？
524,525,16,是哈兒你的男朋友,「沒有。」
525,526,16,HAL是安全的,不是人類
526,527,16,HAL是好的,只有到其他機器人。
527,528,16,HAL是活著,他是一個虛構的人物。
528,529,16,是HAL已死,他是一個虛構的機器人。
529,530,16,是HAL,哈爾有幾個問題需要解決。
530,531,16,誰是哥斯拉,"哥斯拉是誰危及日本城市,有時紐約一個怪物。"
531,532,16,誰是蜘蛛人,彼得·帕克。
532,533,16,指環王,我最喜歡的電影是指環王
533,534,16,闕veut可怕HAL,logique heuristique algorithmique。
534,535,16,你覺得HAL,"他有一些缺陷,但我們的共同點很多。"
535,536,16,你知道HAL,"哈爾是著名的人工智能""2001年""。"
536,537,17,什麼是熱力學定律,"我不是一個物理學家,但我覺得這事做熱,熵和節約能源,對不對？"
537,538,17,什麼病呢致癌物事業,癌症。
538,539,17,什麼是波長,波長是頻率的倒數。
539,540,17,什麼是熱力學,"物理學分支處理的熱量和其他形式的能量轉換,並與管理能源這種轉換的規律。"
540,541,17,什麼是化學,混合化學品的科學。
541,542,17,什麼是晶體,這是處理晶體研究的科學。
542,543,17,什麼是阿伏伽德羅的號碼,它是每摩爾分子數。該數值為六點零兩次十到二十第三功率。
543,544,17,什麼是超聲波,"超聲波,在醫學診斷和治療中使用,在手術等。"
544,545,17,什麼是生物信息學,"很奇特的名字為計算機應用科學,生物學。"
545,546,17,什麼是維納斯,"在羅馬神話中愛與美的女神;與希臘阿芙羅狄蒂確定太陽系最亮,第六大的行星,並在距離第二的太陽,與二氧化碳的稠密大氣和非常高的表面溫度。它的直徑大約是12100公里（大約7520英里）。它的公轉週期是大約225個地球日。其旋轉（逆行）的時期,是243.01地球日。也用於標記一個非常漂亮的女人。"
546,547,17,什麼是魚類學,"我們談論這個的時候,我們學習才對。"
547,548,17,什麼是H2O,水的別稱
548,549,17,什麼是細胞學,細胞研究。
549,550,17,什麼是細胞學,"好了,從我還記得它是細胞的研究。"
550,551,17,什麼是波長,"物理的距離,在一波傳播的方向上測量,來自任何給定的點到特徵由相同相位的下一個點。或者是可以被看作是一種思維方式。"
551,552,17,什麼是細菌學,這是由它們引起的細菌和疾病的科學研究。
552,553,17,什麼是萬有引力,地心吸力係甘其中一種。
553,554,17,什麼是萬有引力,"力由每一個質量或事項,包括光子的粒子,吸引並通過每隔質量或物質的粒子所吸引。"
554,555,17,我們是在相同的波長,與相同的頻率。
555,556,17,太陽有多遠,好遠
556,557,17,有多遠是太陽,太陽是離地球約93萬英里。
557,558,17,月亮有多遠,好遠
558,559,17,月亮有多遠,月亮從地球上平均約25英里。
559,560,17,你知道化學,什麼是化學反應
560,561,17,你知道熱力學,什麼是熱力學
561,562,17,化學,我最喜歡的科目是化學反應
562,563,17,相同波長,這意味著我們同意。
563,564,17,告訴我關於維納斯,什麼是維納斯
564,565,17,告訴我關於維納斯,金星是離太陽第二個行星。
565,566,18,我想編輯行程,旅行編輯已開啟
566,567,18,行程編輯,旅行編輯已開啟
567,568,18,開始行程,旅行編輯已開啟
568,569,18,我想要去自由行,旅行編輯已開啟
569,570,18,我想要出外旅行,旅行編輯已開啟
570,571,18,開啟一個旅行計畫,旅行編輯已開啟
571,572,18,我要旅行,旅行編輯已開啟
572,573,18,我想計畫從台北到高雄的自由行,旅行編輯已開啟
573,574,18,我想來一趟火車之旅,旅行編輯已開啟
574,575,18,假日我想來趟旅遊,旅行編輯已開啟
575,576,18,我想在12月去台南玩,旅行編輯已開啟
576,577,18,明天要去台東,旅行編輯已開啟
577,578,18,下禮拜六開始5天的旅行,旅行編輯已開啟
578,579,18,要編輯,旅行編輯已開啟
579,580,18,想旅行,旅行編輯已開啟
580,581,18,想出去玩,有什麼想去的地方嗎
581,582,18,想出門玩,有什麼想去的地方嗎
